user_id,contract,most_search_t6,count_t6,category_t6,most_search_t7,count_t7,category_t7,keyword_changed_flag,category_shift_flag,category_transition,most_watch_type,taste_profile,activity_level,active_days,total_giai_tri,total_phim_truyen,total_the_thao,total_thieu_nhi,total_truyen_hinh
06045088,,chàng hậu,2,Phim Hàn Quốc,spfafaly,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
06045465,,doraemon,4,Anime,john wick,2,Phim chiếu rạp / Hành động,Yes,Changed,Anime -> Phim chiếu rạp / Hành động,,,,,,,,,
06069576,,nha hoàn liên minh,3,Khác,chàng hậu,2,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
06081725,,tay đấm thép,3,Khác,dem toi tokio phan 1,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06099997,,chuyển sinh thành nhện,3,Anime,fire force,2,Khác,Yes,Changed,Anime -> Khác,,,,,,,,,
063560,,bố già,2,Khác,tập 3 tập,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06402896,,true beauty,4,Phim Hàn Quốc,tien nu cu ta,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
06406871,,thiên cổ quyết trần,2,Phim Trung Quốc,thiên cổ quyết trần,2,Phim Trung Quốc,No,Unchanged,Unchanged,,,,,,,,,
06411727,,ca cổ hạnh phúc quanh đây nguyễn kim tuấn ngọc,2,Âm nhạc,người phán sử,2,Khác,Yes,Changed,Âm nhạc -> Khác,,,,,,,,,
06412102,,sonic exe,2,Khác,one pie,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06431613,,cô,2,Khác,hà tịch,4,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06441979,,fairy tail,11,Anime,inuyasha,3,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
06442983,,vô tình nhặt được tổng tài,8,Phim Trung Quốc,khi màn đêm gợn sóng,18,Phim Trung Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
06448750,,chạy trốn thanh xuan,2,Khác,luffy,3,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
06455395,,thanh gươm diệt quỷ phần kỹ viện trấn,2,Anime,thanh gươm diệt quỷ phần kỹ viện trấn,6,Anime,No,Unchanged,Unchanged,,,,,,,,,
06456462,,những người thừa kế,2,Phim Hàn Quốc,đối tác đáng ngờ,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
06457134,,nam g,2,Khác,cô nàng đầu bếp của tôi,4,Phim Thái Lan,Yes,Changed,Khác -> Phim Thái Lan,,,,,,,,,
06805808,,giọng hát việt 2018 đo ván,6,Khác,giong hat viet 2019,15,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06823389,,18 sex,2,Nhạy cảm,huyền thoại ghe to tinh,2,Khác,Yes,Changed,Nhạy cảm -> Khác,,,,,,,,,
06826156,,em là thành trì doanh lũy của anh,5,Phim Trung Quốc,kết hôn rồi bắt đầu yêu,3,Phim Trung Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
06827723,,yêu trong đau thương thuyết minh,2,Khác,cuộc chiến thượng lưu 2 thuyết minh,4,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
06828514,,diên hy công lược,2,Phim Trung Quốc,diên hy công lược,2,Phim Trung Quốc,No,Unchanged,Unchanged,,,,,,,,,
06829228,,minh lan truyện,2,Phim Trung Quốc,nhất dạ tân nương,3,Phim Trung Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
06861975,,boku no hero academia season 1,2,Anime,american psycho,2,Khác,Yes,Changed,Anime -> Khác,,,,,,,,,
06865661,,bắt ma phá án,3,Phim Hàn Quốc,phim sex,3,Nhạy cảm,Yes,Changed,Phim Hàn Quốc -> Nhạy cảm,,,,,,,,,
06881946,,vẻ đẹp đích thực,2,Phim Hàn Quốc,lop hoc biet tuot,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
06884832,,giữa thanh xuân,2,Phim Trung Quốc,ước định thời gian yêu em,2,Khác,Yes,Changed,Phim Trung Quốc -> Khác,,,,,,,,,
06894315,,con tim sắt đá,2,Phim Thái Lan,người thầy y đức,2,Phim Hàn Quốc,Yes,Changed,Phim Thái Lan -> Phim Hàn Quốc,,,,,,,,,
06894340,,triệu lộ tư,3,Khác,happy camp 2020,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
06894662,,sakura thủ lĩnh thẻ bài,6,Anime,sakura thủ lĩnh thẻ bài,3,Anime,No,Unchanged,Unchanged,,,,,,,,,
06895656,,em đẹp nhất là khi mỉm cười,4,Phim Trung Quốc,chiêu trò lừa gạt,2,Phim Thái Lan,Yes,Changed,Phim Trung Quốc -> Phim Thái Lan,,,,,,,,,
06896715,,cuộc chiến,2,Khác,cuộc chiến thượng lưu,13,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
0876757,,baby bunny,3,Khác,thỏ,8,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
0896392,,bắt ma phá án,4,Phim Hàn Quốc,hoa du ký,2,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
1014068,,ben nhau tron doi,2,Khác,cẩm y chi hạ,3,Phim Trung Quốc,Yes,Changed,Khác -> Phim Trung Quốc,,,,,,,,,
1019213,,chuyển sinh thành slime,2,Anime,black thần chết,2,Khác,Yes,Changed,Anime -> Khác,,,,,,,,,
1041004,,biet d,3,Khác,haikyu,5,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
1184935,,ca m,3,Khác,cuộc chiến thượng lưu,2,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
1194296,,bolero đường phố,4,Âm nhạc,bolero đường phố,6,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
1333414,,lava,2,Khác,ninjago,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
1427366,,nhất kiến khuynh tâm,2,Phim Trung Quốc,cuộc chiến thượng lưu,2,Phim Hàn Quốc,Yes,Changed,Phim Trung Quốc -> Phim Hàn Quốc,,,,,,,,,
1566024,,phật giáo,4,Khác,phật giáo,2,Khác,No,Unchanged,Unchanged,,,,,,,,,
1593184,,liên minh công lý phiên bản của zack snyder,2,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng,co dau bi ban,5,Khác,Yes,Changed,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng -> Khác,,,,,,,,,
1635499,,cong chu,2,Khác,goblin,6,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
1776779,,attack on titan final season,2,Anime,thanh gươm diệt quỷ phần kỹ viện trấn,2,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
1790582,,kimetsu no yaiba,3,Anime,kimetsu no yaiba,6,Anime,No,Unchanged,Unchanged,,,,,,,,,
1911528,,bắt ma phá án,3,Phim Hàn Quốc,running man tập 1,2,Chương trình truyền hình,Yes,Changed,Phim Hàn Quốc -> Chương trình truyền hình,,,,,,,,,
2041640,,running man,2,Chương trình truyền hình,thử thách thần chết giữa hai thế giới,4,giữa hai thế giới : Phim chiếu rạp / Giả tưởng,Yes,Changed,Chương trình truyền hình -> giữa hai thế giới : Phim chiếu rạp / Giả tưởng,,,,,,,,,
2172614,,alex and gaby,8,Khác,alex and gaby,6,Khác,No,Unchanged,Unchanged,,,,,,,,,
2321360,,hen,10,Khác,hen,15,Khác,No,Unchanged,Unchanged,,,,,,,,,
2383393,,shooting stars,2,Phim Hàn Quốc,happiness,2,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
2424100,,thổ dân amazon,3,Khác,thổ dân amazon,2,Khác,No,Unchanged,Unchanged,,,,,,,,,
2426441,,bắt ma phá án,2,Phim Hàn Quốc,báo thù,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
2473016,,penthouse special episodes,8,Phim Hàn Quốc,bầu trời rực đỏ,2,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
2763923,,yêu từng centimet,2,Phim Trung Quốc,highschool of the dead,2,Khác,Yes,Changed,Phim Trung Quốc -> Khác,,,,,,,,,
2852438,,khu vực 9,2,Khác,mở,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
2878571,,vô tình nhặt được tổng tài,9,Phim Trung Quốc,mat tha,13,Khác,Yes,Changed,Phim Trung Quốc -> Khác,,,,,,,,,
290195,,tâm sự mộng cầm,3,Khác,tâm sự mộng cầm,4,Khác,No,Unchanged,Unchanged,,,,,,,,,
2963343,,hồi kí vanitas,4,Anime,bầu trời rực đỏ,2,Phim Hàn Quốc,Yes,Changed,Anime -> Phim Hàn Quốc,,,,,,,,,
3011383,,nữ thanh tra tài ba,4,Phim Hàn Quốc,công ty osin quốc dân,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
3125654,,sieu th,2,Khác,juma,8,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
3601913,,ngôi sao khoai tây,20,Phim Hàn Quốc,ngôi sao khoai tây,16,Phim Hàn Quốc,No,Unchanged,Unchanged,,,,,,,,,
3748307,,johnny depp,2,Khác,atack on ti,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
3769929,,bất động sản trừ tà,2,Phim Hàn Quốc,vincenzo,2,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
3954009,,vượt ra tội ác,2,Phim Hàn Quốc,bạn trai tôi là hồ ly,2,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
40013933,,thanh gươm diệt quỷ phần kỹ viện trấn,4,Anime,thanh gươm diệt quỷ phần kỹ viện trấn,3,Anime,No,Unchanged,Unchanged,,,,,,,,,
40022549,,ca nhạc,8,Âm nhạc,ca nhạc,10,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
40041359,,chuyển sinh thành slime,9,Anime,kimetsu no yaiba,7,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
40086641,,bóng ma quá khứ,2,Tâm linh,nắng 3,2,Khác,Yes,Changed,Tâm linh -> Khác,,,,,,,,,
40336237,,siêu nhân,49,Phim hoạt hình,siêu nhân,25,Phim hoạt hình,No,Unchanged,Unchanged,,,,,,,,,
40344268,,danh hài chiến thắng,4,Khác,cho xem video danh hài chiến thắng,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
4038714,,vương giả thiên hạ,3,Anime,phàm nhân tu tiên,2,Phim hoạt hình 3D Trung Quốc,Yes,Changed,Anime -> Phim hoạt hình 3D Trung Quốc,,,,,,,,,
40437279,,kẻ săn người,2,Khác,ký sự thanh xuân,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
40438358,,dac kh,2,Khác,oh w,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
40447190,,true beauty,2,Phim Hàn Quốc,vẻ đẹp đích thực,3,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
40484160,,phi nhung kim tu long ca co,2,Âm nhạc,cach thuc lam mam du du,4,Khác,Yes,Changed,Âm nhạc -> Khác,,,,,,,,,
40527550,,sao băng,2,Khác,sakura thủ lĩnh thẻ bài,2,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
40652014,,love,2,Khác,love,2,Khác,No,Unchanged,Unchanged,,,,,,,,,
40675133,,đại chiến titan,2,Anime,hội pháp sư,2,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
40677604,,yêu không kiểm soát,3,Phim Hàn Quốc,truy tìm cổ vật,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
4080861,,saimdang nhật ký ánh sáng,2,Khác,bên a sống ở cạnh nhà tôi,2,Phim Trung Quốc,Yes,Changed,Khác -> Phim Trung Quốc,,,,,,,,,
40809522,,attack on titan part 1,3,Anime,vùng đất quỷ dữ 3 tuyệt diệt,2,Khác,Yes,Changed,Anime -> Khác,,,,,,,,,
4091170,,dai duong vinh,2,Khác,lang,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
4093556,,liên minh công lý phiên bản của zack snyder,2,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng,kẻ trộm mặt trăng minions,2,minions : Phim hoạt hình,Yes,Changed,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng -> minions : Phim hoạt hình,,,,,,,,,
40963566,,thiếu nhi,2,Tìm kiếm chung,thiếu nhi,7,Tìm kiếm chung,No,Unchanged,Unchanged,,,,,,,,,
41059108,,bleach,4,Anime,naruto,9,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
41059592,,one,4,Khác,dr stone,2,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
41118689,,tôi thấy hoa vàng trên cỏ xanh,2,Phim Việt Nam,tôi thấy hoa vàng trên cỏ xanh,2,Phim Việt Nam,No,Unchanged,Unchanged,,,,,,,,,
41148175,,trữ tình,15,Âm nhạc,trữ tình,16,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
41191991,,kênh vtv3,6,Kênh truyền hình,children,3,Khác,Yes,Changed,Kênh truyền hình -> Khác,,,,,,,,,
41204611,,bắt ma phá án,2,Phim Hàn Quốc,chiêu diêu,7,Phim Trung Quốc,Yes,Changed,Phim Hàn Quốc -> Phim Trung Quốc,,,,,,,,,
41211843,,siêu nhân,2,Phim hoạt hình,trữ tình,2,Âm nhạc,Yes,Changed,Phim hoạt hình -> Âm nhạc,,,,,,,,,
41215230,,attack on titan season 2 shingeki no kyojin,7,Anime,attack on titan season 4,2,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
41240292,,cánh đồng hoang,3,Khác,tam quốc diễn nghĩa,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41289034,,thiếu nhi,3,Tìm kiếm chung,thiếu nhi,2,Tìm kiếm chung,No,Unchanged,Unchanged,,,,,,,,,
41322207,,paw patrol,2,Phim hoạt hình,paw patrol,2,Phim hoạt hình,No,Unchanged,Unchanged,,,,,,,,,
41331182,,nhanh và nguy hiểm 9,4,Phim chiếu rạp / Hành động,mortal kombat,4,Khác,Yes,Changed,Phim chiếu rạp / Hành động -> Khác,,,,,,,,,
41331659,,link,2,Khác,eve,2,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
41373023,,hiep,16,Khác,khung,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41381323,,bolero,5,Âm nhạc,bolero,2,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
41464893,,mộng,2,Khác,hoàn hồn,2,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
41486347,,real,4,Khác,liverpool real madrid xem lại trận đấu uefa champions league,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41493159,,đất và người,2,Khác,mở nhạc không lời,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41509179,,cabaret du monde,2,Khác,nchcccl154,5,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41537939,,fairy tail,5,Anime,lấy danh nghĩa người nhà,2,Phim Trung Quốc,Yes,Changed,Anime -> Phim Trung Quốc,,,,,,,,,
41562199,,bolero,2,Âm nhạc,lửa chiến,3,Khác,Yes,Changed,Âm nhạc -> Khác,,,,,,,,,
41589484,,phim thái lan,2,Phim Thái Lan,phi cơ,2,Khác,Yes,Changed,Phim Thái Lan -> Khác,,,,,,,,,
41603525,,jack,8,Khác,jack,3,Khác,No,Unchanged,Unchanged,,,,,,,,,
41650076,,học viện siêu anh hùng,7,Khác,chuyển sinh thành slime,3,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
41709335,,vtv,2,Khác,haikuuy,10,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41775053,,hội pháp sư fairi tail,3,Anime,fairy tail,2,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
41849106,,bắt ma phá án,3,Phim Hàn Quốc,bắt ma phá án,2,Phim Hàn Quốc,No,Unchanged,Unchanged,,,,,,,,,
41873103,,hậu duệ mặt trời,6,Phim Hàn Quốc,phía sau khung cửa sổ,3,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
41884148,,một mảnh băng tâm tại ngọc hồ,2,Khác,ta là lưu kim phượng,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41947030,,ẩn danh,3,Khác,lời hồi đáp 1988,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
41996291,,thiếu niên ninja rùa đột biến,6,Phim hoạt hình,moon,2,Khác,Yes,Changed,Phim hoạt hình -> Khác,,,,,,,,,
42011168,,sự trở về của jang bo ri,5,Khác,kí ức tuổi 18,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42015692,,fairy tail,4,Anime,lê hấp đường phèn,32,Phim Trung Quốc,Yes,Changed,Anime -> Phim Trung Quốc,,,,,,,,,
42025072,,nàng bạch tuyết và bảy chú lùn,2,Phim hoạt hình,the little mermaid,2,Phim chiếu rạp,Yes,Changed,Phim hoạt hình -> Phim chiếu rạp,,,,,,,,,
42041976,,shichisei subaru,2,Khác,hibike,6,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42042476,,mộng hoa lục,5,Phim ảnh,sinh vật huyền bí,2,Khác,Yes,Changed,Phim ảnh -> Khác,,,,,,,,,
42050597,,cuốn theo chiều gió,2,Khác,cuốn theo chiều gió,3,Khác,No,Unchanged,Unchanged,,,,,,,,,
42073919,,ca nhạc,6,Âm nhạc,ca nhạc,4,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
42100297,,hai thế giới,3,Phim Hàn Quốc,huyền của ôn noãn,2,Khác,Yes,Changed,Phim Hàn Quốc -> Khác,,,,,,,,,
42118096,,boruto,2,naruto the movie : Anime,hùng long phong bá,2,Khác,Yes,Changed,naruto the movie : Anime -> Khác,,,,,,,,,
42159504,,thế giới livestream điên cuồng,6,Khác,sửu phi giá đáo,3,Phim Trung Quốc,Yes,Changed,Khác -> Phim Trung Quốc,,,,,,,,,
42166498,,toán lớp 2 chương trình cũ,2,Tìm kiếm chung / Học tập,tau,2,Khác,Yes,Changed,Tìm kiếm chung / Học tập -> Khác,,,,,,,,,
42173266,,giáng sinh nhớ đời,2,Khác,ho tu tha,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42173428,,attack on titan season 4,3,Anime,overl,8,Khác,Yes,Changed,Anime -> Khác,,,,,,,,,
42192666,,hanebado,2,Khác,haro,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42233099,,phim kinh dị,2,Thể loại phim,kimetsu no yaiba,8,Anime,Yes,Changed,Thể loại phim -> Anime,,,,,,,,,
42249501,,người nhện,8,không còn nhà : Phim chiếu rạp / Siêu anh hùng,phim hành động,2,Thể loại phim,Yes,Changed,không còn nhà : Phim chiếu rạp / Siêu anh hùng -> Thể loại phim,,,,,,,,,
42252173,,running man,2,Chương trình truyền hình,thử thách thần tượng running man,4,Chương trình truyền hình,Yes,Unchanged,Unchanged,,,,,,,,,
42290405,,happiness,2,Phim Hàn Quốc,kim tịch hà tịch,2,Phim Trung Quốc,Yes,Changed,Phim Hàn Quốc -> Phim Trung Quốc,,,,,,,,,
42298430,,éo le cuộc tình,3,Khác,youtube,2,Nền tảng,Yes,Changed,Khác -> Nền tảng,,,,,,,,,
42309077,,chiêu trò nguyên thủy,3,Khác,yêu nhầm chị dâu,3,Phim Thái Lan,Yes,Changed,Khác -> Phim Thái Lan,,,,,,,,,
42318924,,tin tức phá án,2,Khác,phim trai hư gái ngoan tập 19,4,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42334283,,fairy tail,6,Anime,fairy tail,2,Anime,No,Unchanged,Unchanged,,,,,,,,,
42335257,,học viện quân sự liệt hỏa,9,Phim Trung Quốc,chàng hậu,20,Phim Hàn Quốc,Yes,Changed,Phim Trung Quốc -> Phim Hàn Quốc,,,,,,,,,
42341941,,liên khúc,2,Âm nhạc,thiếu nhi,2,Tìm kiếm chung,Yes,Changed,Âm nhạc -> Tìm kiếm chung,,,,,,,,,
42403409,,trữ tình,2,Âm nhạc,trữ tình,2,Âm nhạc,No,Unchanged,Unchanged,,,,,,,,,
42414851,,hội pháp sư,2,Anime,hội pháp sư,2,Anime,No,Unchanged,Unchanged,,,,,,,,,
42430548,,yêu em từ cái nhìn đầu tiên,2,Phim Trung Quốc,bi mat noi goc toi,2,Khác,Yes,Changed,Phim Trung Quốc -> Khác,,,,,,,,,
42455502,,hình vĩnh long,2,Khác,lửa chiến,2,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42533270,,con heo đất,2,Âm nhạc thiếu nhi,đại chiến kén rể,4,Chương trình truyền hình,Yes,Changed,Âm nhạc thiếu nhi -> Chương trình truyền hình,,,,,,,,,
42558672,,shinemota,2,Khác,hentai,2,Nhạy cảm,Yes,Changed,Khác -> Nhạy cảm,,,,,,,,,
42567557,,ca m,2,Khác,running man,2,Chương trình truyền hình,Yes,Changed,Khác -> Chương trình truyền hình,,,,,,,,,
42590763,,mùa gió chuong,2,Khác,vòng xoáy tình yêu,6,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
42656223,,siêu nhân,10,Phim hoạt hình,siêu nhân,5,Phim hoạt hình,No,Unchanged,Unchanged,,,,,,,,,
42660033,,tìm kiếm bằng giọng nói,3,Tìm kiếm chung / Chức năng,itewonclass,2,Khác,Yes,Changed,Tìm kiếm chung / Chức năng -> Khác,,,,,,,,,
42679791,,siêu nhân,3,Phim hoạt hình,siêu nhân,10,Phim hoạt hình,No,Unchanged,Unchanged,,,,,,,,,
42708971,,minh châu rực rỡ,2,Phim Thái Lan,bok soo trở lại,2,Khác,Yes,Changed,Phim Thái Lan -> Khác,,,,,,,,,
42742650,,tìm kiếm bằng giọng nói,6,Tìm kiếm chung / Chức năng,tìm kiếm bằng giọng nói,3,Tìm kiếm chung / Chức năng,No,Unchanged,Unchanged,,,,,,,,,
42796724,,bầu trời rực đỏ,3,Phim Hàn Quốc,huyền thoại biển xanh,5,Phim Hàn Quốc,Yes,Unchanged,Unchanged,,,,,,,,,
42847658,,bao thanh thiên,2,Phim Đài Loan,bao thanh thiên,2,Phim Đài Loan,No,Unchanged,Unchanged,,,,,,,,,
42848353,,liên minh công lý phiên bản của zack snyder,3,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng,liên minh công lý phiên bản của zack snyder,3,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng,No,Unchanged,Unchanged,,,,,,,,,
42899570,,doraemon,9,Anime,doraemon,7,Anime,No,Unchanged,Unchanged,,,,,,,,,
42920561,,lbx,2,Khác,tho san yeu tinh,3,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
43064135,,thế giới động vật,7,Tìm kiếm chung / Tài liệu,thế giới động vật,3,Tìm kiếm chung / Tài liệu,No,Unchanged,Unchanged,,,,,,,,,
43069351,,cô nàng đầu bếp của tôi,2,Phim Thái Lan,tuổi thanh xuân,2,Khác,Yes,Changed,Phim Thái Lan -> Khác,,,,,,,,,
43159919,,mất dấu,3,Khác,thuyết minh,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
4321425,,prime provider,2,Khác,sống chung với mẹ chồng,3,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
43255379,,thiếu nhi,19,Tìm kiếm chung,thiếu nhi,12,Tìm kiếm chung,No,Unchanged,Unchanged,,,,,,,,,
43288201,,aikatsu p1,3,Khác,doraemon,2,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
43292678,,hội pháp sư,3,Anime,đao kiếm thần vực phần 4,3,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
43301139,,duong toi di dai theo dat nuoc,3,Khác,liên minh công lý phiên bản của zack snyder,2,phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng,Yes,Changed,Khác -> phiên bản của zack snyder : Phim chiếu rạp / Siêu anh hùng,,,,,,,,,
43302578,,một con vịt,9,Âm nhạc thiếu nhi,bào ngư hát bống bống,4,Khác,Yes,Changed,Âm nhạc thiếu nhi -> Khác,,,,,,,,,
43491175,,sousei,4,Khác,mouse,2,Phim Hàn Quốc,Yes,Changed,Khác -> Phim Hàn Quốc,,,,,,,,,
43537948,,vườn sao băng,4,Khác,như giọt sương ngủ muộn,8,Khác,Yes,Unchanged,Unchanged,,,,,,,,,
43563114,,học viện anh hùng phần 2,7,Anime,fairy tail,2,Anime,Yes,Unchanged,Unchanged,,,,,,,,,
43631091,,đại chiến,3,Khác,attack on titan,5,Anime,Yes,Changed,Khác -> Anime,,,,,,,,,
4366764,,lưỡi gươm diệt quỷ phần 3,2,Anime,chiến đội siêu nhân nhẫn giả,2,Phim hoạt hình,Yes,Changed,Anime -> Phim hoạt hình,,,,,,,,,
436753,,castlevania,2,Khác,khủng long,3,Động vật,Yes,Changed,Khác -> Động vật,,,,,,,,,
